Month (mm-yy),Sapling no.,Planting hole,Weeding treatment,Fertiliser treatment,Peat condition,Sun exposure,Insect herbivory,Dead/Live,Height (cm),DBH (cm),No. of leaves,RGR for Height,RGR for DBH
May-21,40-01-24,188,Weeding,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA
May-21,77-01-03,189,No weeding,Mixed,NA,NA,NA,NA,NA,NA,NA,NA,NA
May-21,70-01-01,190,Weeding,TSP,NA,NA,NA,NA,NA,NA,NA,NA,NA
May-21,20-01-14,191,No weeding,None,NA,NA,NA,NA,NA,NA,NA,NA,NA
May-21,05-01-17,192,Weeding,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA
May-21,29-01-06,193,No weeding,Mixed,NA,NA,NA,NA,NA,NA,NA,NA,NA
May-21,73-01-01,194,Weeding,TSP,NA,NA,NA,NA,NA,NA,NA,NA,NA
May-21,41-01-10,195,No weeding,None,NA,NA,NA,NA,NA,NA,NA,NA,NA
May-21,22-01-04,196,Weeding,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA
May-21,05-01-02,197,No weeding,Mixed,NA,NA,NA,NA,NA,NA,NA,NA,NA
May-21,05-01-07,198,Weeding,TSP,NA,NA,NA,NA,NA,NA,NA,NA,NA
May-21,05-01-28,199,No weeding,None,NA,NA,NA,NA,NA,NA,NA,NA,NA
May-21,49-01-14,200,Weeding,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jun-21,49-01-05,1,Weeding,None,Partial,High,NA,Live,218.5,1.91,NA,NA,NA
Jun-21,56-01-01,2,No weeding,Urea,Partial,High,Low,Live,130,0.31,5,0.00128,-0.27623
Jun-21,50-01-09,3,Weeding,Mixed,Partial,Partial,Low,Live,177,1.2,18,-0.00019,-0.01093
Jun-21,05-01-42,4,No weeding,TSP,Partial,High,NA,Live,94,0.45,NA,NA,NA
Jun-21,28-01-03,5,Weeding,None,Waterlogged,High,Low,Live,176,0.89,9,-0.00095,0.02327
Jun-21,08-01-02,6,No weeding,Urea,Waterlogged,High,NA,Live,148,0.32,NA,NA,NA
Jun-21,41-01-23,7,Weeding,Mixed,Waterlogged,High,Low,Live,227,0.81,4,0.00893,0.00414
Jun-21,77-01-10,8,No weeding,TSP,Partial,High,Intermediate,Live,99,0.76,3,0.0068,0.02268
Jun-21,09-01-11,9,Weeding,None,Dry,High,Intermediate,Live,177.5,1.42,17,0.00094,0.04518
Jun-21,05-01-04,10,No weeding,Urea,Waterlogged,High,NA,Live,158.5,0.48,0,0.00317,-0.01361
Jun-21,45-01-01,11,Weeding,Mixed,Waterlogged,High,NA,Live,177,1.06,3,0.00284,-0.01835
Jun-21,78-01-14,12,No weeding,TSP,Waterlogged,High,NA,Live,137,0.83,NA,NA,NA
Jun-21,62-01-01,13,Weeding,None,Dry,High,NA,Live,199,0.93,NA,NA,NA
Jun-21,78-01-01,14,No weeding,Urea,Dry,High,NA,Live,163,0.95,NA,NA,NA
Jun-21,53-01-09,15,Weeding,Mixed,Dry,High,Intermediate,Live,178,0.73,15,0.00567,0.02859
