Month (mm-yy),Sapling no.,Planting hole,Weeding treatment,Fertiliser treatment,Peat condition,Sun exposure,Insect herbivory,Dead/Live,Height (cm),DBH (cm),No. of leaves,RGR for Height,RGR for DBH
Jun-21,50-01-06,176,Weeding,Urea,Partial,Low,Low,Live,177,0.29,2,0.00474,-0.30772
Jun-21,65-01-04,177,No weeding,Mixed,Partial,Low,Low,Live,178,1.16,5,0.00113,0.03321
Jun-21,52-01-15,178,Weeding,TSP,Dry,Low,NA,Live,139,0.88,NA,NA,NA
Jun-21,35-01-02,179,No weeding,None,Partial,Low,NA,Live,119,0.71,NA,NA,NA
Jun-21,56-01-11,180,Weeding,Urea,Partial,Low,NA,Live,188.5,1.1,NA,NA,NA
Jun-21,39-0-26,181,No weeding,Mixed,Partial,Partial,NA,Live,181.5,0.6,NA,NA,NA
Jun-21,76-01-06,182,Weeding,TSP,Partial,Partial,NA,Live,115.5,0.77,NA,NA,NA
Jun-21,06-01-11,183,No weeding,None,Partial,Partial,NA,Live,176.5,0.96,NA,NA,NA
Jun-21,29-01-05,184,Weeding,Urea,Partial,Partial,NA,Live,211,1,NA,NA,NA
Jun-21,13-01-04,185,No weeding,Mixed,Partial,Partial,NA,Live,196,1.08,NA,NA,NA
Jun-21,20-01-05,186,Weeding,TSP,Partial,High,Low,Live,185,0.72,6,-0.00854,0.04451
Jun-21,24-01-08,187,No weeding,None,Partial,High,NA,Live,187,1.19,NA,NA,NA
Jun-21,77-01-18,188,Weeding,Urea,Dry,High,NA,Live,207,1.09,NA,NA,NA
Jun-21,55-01-02,189,No weeding,Mixed,Partial,High,NA,Live,177,0.95,NA,NA,NA
Jun-21,50-01-11,190,Weeding,TSP,Partial,High,NA,Live,192,0.66,NA,NA,NA
Jun-21,20-01-14,191,No weeding,None,Partial,High,Low,Live,175,1.56,24,0,0.00866
Jun-21,05-01-17,192,Weeding,Urea,Partial,High,Low,Live,177,1.15,7,0.00094,0.02093
Jun-21,29-01-06,193,No weeding,Mixed,Partial,Partial,Low,Live,183,0.59,3,-0.002,-0.02712
Jun-21,73-01-01,194,Weeding,TSP,Partial,High,None,Live,150,1.48,0,-0.09756,-0.00669
Jun-21,75-01-16,195,No weeding,None,Partial,Partial,NA,Live,175.7,1.06,NA,NA,NA
Jun-21,36-01-01,196,Weeding,Urea,Partial,Partial,NA,Live,169,0.45,NA,NA,NA
Jun-21,05-01-02,197,No weeding,Mixed,Partial,High,None,Live,171,0.66,3,-0.01244,-0.17329
Jun-21,77-01-21,198,Weeding,TSP,Partial,High,NA,Live,170,0.67,NA,NA,NA
Jun-21,24-01-05,199,No weeding,None,Waterlogged,High,Low,Live,233,1.06,NA,NA,NA
Jun-21,49-01-14,200,Weeding,Urea,Partial,High,Low,Live,139,0.94,12,0.01471,0.04553
